name, method, class, x, y
car,i,0,1.0,1.0
car,i,0,0.993174061433,0.99203715992
car,i,0,0.98976109215,0.980756469808
car,i,0,0.976109215017,0.972793629728
car,i,0,0.948805460751,0.951559389516
car,i,0,0.931740614334,0.942269409423
car,i,0,0.928327645051,0.933642999336
car,i,0,0.921501706485,0.927670869277
car,i,0,0.918088737201,0.922362309224
car,i,0,0.901023890785,0.909754479098
car,i,0,0.901023890785,0.895155938952
car,i,0,0.894197952218,0.885202388852
car,i,0,0.873720136519,0.86595885866
car,i,0,0.856655290102,0.846715328467
car,i,0,0.849829351536,0.840743198407
car,i,0,0.836177474403,0.830126078301
car,i,0,0.808873720137,0.821499668215
car,i,0,0.788395904437,0.813536828135
car,i,0,0.78156996587,0.805573988056
car,i,0,0.78156996587,0.79495686795
car,i,0,0.764505119454,0.777704047777
car,i,0,0.754266211604,0.761114797611
car,i,0,0.744027303754,0.752488387525
car,i,0,0.723549488055,0.743861977439
car,i,0,0.716723549488,0.738553417386
car,i,0,0.713310580205,0.728599867286
car,i,0,0.703071672355,0.721300597213
car,i,0,0.689419795222,0.712674187127
car,i,0,0.682593856655,0.696084936961
car,i,0,0.651877133106,0.673523556735
car,i,0,0.62457337884,0.663570006636
car,i,0,0.61433447099,0.658925016589
car,i,0,0.610921501706,0.650298606503
car,i,0,0.607508532423,0.640345056403
car,i,0,0.60409556314,0.63702720637
car,i,0,0.59385665529,0.634372926344
car,i,0,0.587030716724,0.613138686131
car,i,0,0.559726962457,0.592568015926
car,i,0,0.552901023891,0.584605175846
car,i,0,0.549488054608,0.57398805574
car,i,0,0.542662116041,0.564698075647
car,i,0,0.539249146758,0.551426675514
car,i,0,0.539249146758,0.541473125415
car,i,0,0.539249146758,0.529528865295
car,i,0,0.525597269625,0.511612475116
car,i,0,0.515358361775,0.490378234904
car,i,0,0.508532423208,0.480424684804
car,i,0,0.501706484642,0.472461844725
car,i,0,0.494880546075,0.463835434638
car,i,0,0.491467576792,0.455209024552
car,i,0,0.481228668942,0.444591904446
car,i,0,0.457337883959,0.43596549436
car,i,0,0.450511945392,0.42203052422
car,i,0,0.430034129693,0.401459854015
car,i,0,0.41638225256,0.392169873922
car,i,0,0.40614334471,0.382879893829
car,i,0,0.399317406143,0.372926343729
car,i,0,0.389078498294,0.36297279363
car,i,0,0.382252559727,0.356337093563
car,i,0,0.37542662116,0.346383543464
car,i,0,0.365187713311,0.326476443265
car,i,0,0.344709897611,0.311877903119
car,i,0,0.337883959044,0.299270072993
car,i,0,0.324232081911,0.2899800929
car,i,0,0.296928327645,0.2800265428
car,i,0,0.293515358362,0.269409422694
car,i,0,0.286689419795,0.261446582614
car,i,0,0.276450511945,0.251493032515
car,i,0,0.255972696246,0.230922362309
car,i,0,0.242320819113,0.209688122097
car,i,0,0.235494880546,0.201725282017
car,i,0,0.22866894198,0.193762441938
car,i,0,0.215017064846,0.181154611812
car,i,0,0.204778156997,0.177173191772
car,i,0,0.180887372014,0.164565361646
car,i,0,0.17747440273,0.15195753152
car,i,0,0.146757679181,0.13404114134
car,i,0,0.133105802048,0.112806901128
car,i,0,0.126279863481,0.107498341075
car,i,0,0.102389078498,0.0968812209688
car,i,0,0.0921501706485,0.0882548108825
car,i,0,0.0887372013652,0.0802919708029
car,i,0,0.0716723549488,0.0703384207034
car,i,0,0.0682593856655,0.0617120106171
car,i,0,0.037542662116,0.0457863304579
car,i,0,0.0204778156997,0.0325149303251
car,i,0,0.00682593856655,0.0205706702057
car,i,0,0.00682593856655,0.0092899800929
car,i,1,1.0,1.0
car,i,1,0.99203715992,0.993174061433
car,i,1,0.980756469808,0.98976109215
car,i,1,0.972793629728,0.976109215017
car,i,1,0.951559389516,0.948805460751
car,i,1,0.942269409423,0.931740614334
car,i,1,0.933642999336,0.928327645051
car,i,1,0.927670869277,0.921501706485
car,i,1,0.922362309224,0.918088737201
car,i,1,0.909754479098,0.901023890785
car,i,1,0.895155938952,0.901023890785
car,i,1,0.885202388852,0.894197952218
car,i,1,0.86595885866,0.873720136519
car,i,1,0.846715328467,0.856655290102
car,i,1,0.840743198407,0.849829351536
car,i,1,0.830126078301,0.836177474403
car,i,1,0.821499668215,0.808873720137
car,i,1,0.813536828135,0.788395904437
car,i,1,0.805573988056,0.78156996587
car,i,1,0.79495686795,0.78156996587
car,i,1,0.777704047777,0.764505119454
car,i,1,0.761114797611,0.754266211604
car,i,1,0.752488387525,0.744027303754
car,i,1,0.743861977439,0.723549488055
car,i,1,0.738553417386,0.716723549488
car,i,1,0.728599867286,0.713310580205
car,i,1,0.721300597213,0.703071672355
car,i,1,0.712674187127,0.689419795222
car,i,1,0.696084936961,0.682593856655
car,i,1,0.673523556735,0.651877133106
car,i,1,0.663570006636,0.62457337884
car,i,1,0.658925016589,0.61433447099
car,i,1,0.650298606503,0.610921501706
car,i,1,0.640345056403,0.607508532423
car,i,1,0.63702720637,0.60409556314
car,i,1,0.634372926344,0.59385665529
car,i,1,0.613138686131,0.587030716724
car,i,1,0.592568015926,0.559726962457
car,i,1,0.584605175846,0.552901023891
car,i,1,0.57398805574,0.549488054608
car,i,1,0.564698075647,0.542662116041
car,i,1,0.551426675514,0.539249146758
car,i,1,0.541473125415,0.539249146758
car,i,1,0.529528865295,0.539249146758
car,i,1,0.511612475116,0.525597269625
car,i,1,0.490378234904,0.515358361775
car,i,1,0.480424684804,0.508532423208
car,i,1,0.472461844725,0.501706484642
car,i,1,0.463835434638,0.494880546075
car,i,1,0.455209024552,0.491467576792
car,i,1,0.444591904446,0.481228668942
car,i,1,0.43596549436,0.457337883959
car,i,1,0.42203052422,0.450511945392
car,i,1,0.401459854015,0.430034129693
car,i,1,0.392169873922,0.41638225256
car,i,1,0.382879893829,0.40614334471
car,i,1,0.372926343729,0.399317406143
car,i,1,0.36297279363,0.389078498294
car,i,1,0.356337093563,0.382252559727
car,i,1,0.346383543464,0.37542662116
car,i,1,0.326476443265,0.365187713311
car,i,1,0.311877903119,0.344709897611
car,i,1,0.299270072993,0.337883959044
car,i,1,0.2899800929,0.324232081911
car,i,1,0.2800265428,0.296928327645
