name, method, class, x, y
car,i,0,1.0,1.0
car,i,0,0.993174061433,0.99402786994
car,i,0,0.986348122867,0.987392169874
car,i,0,0.982935153584,0.977438619774
car,i,0,0.976109215017,0.968148639681
car,i,0,0.969283276451,0.960185799602
car,i,0,0.962457337884,0.953550099536
car,i,0,0.945392491468,0.942269409423
car,i,0,0.945392491468,0.927670869277
car,i,0,0.941979522184,0.917053749171
car,i,0,0.935153583618,0.908427339084
car,i,0,0.914675767918,0.887856668879
car,i,0,0.914675767918,0.874585268746
car,i,0,0.907849829352,0.86595885866
car,i,0,0.901023890785,0.8599867286
car,i,0,0.894197952218,0.848706038487
car,i,0,0.890784982935,0.838752488388
car,i,0,0.873720136519,0.827471798275
car,i,0,0.860068259386,0.822826808228
car,i,0,0.856655290102,0.816854678169
car,i,0,0.82252559727,0.79495686795
car,i,0,0.815699658703,0.78102189781
car,i,0,0.805460750853,0.772395487724
car,i,0,0.798634812287,0.763769077638
car,i,0,0.784982935154,0.752488387525
car,i,0,0.767918088737,0.742534837425
car,i,0,0.764505119454,0.733244857332
car,i,0,0.764505119454,0.724618447246
car,i,0,0.761092150171,0.716655607167
car,i,0,0.737201365188,0.697412076974
car,i,0,0.733788395904,0.689449236894
car,i,0,0.723549488055,0.682149966821
car,i,0,0.709897610922,0.670869276709
car,i,0,0.692832764505,0.661579296616
car,i,0,0.686006825939,0.65295288653
car,i,0,0.668941979522,0.647644326476
car,i,0,0.655290102389,0.636363636364
car,i,0,0.655290102389,0.620437956204
car,i,0,0.641638225256,0.608493696085
car,i,0,0.627986348123,0.591240875912
car,i,0,0.617747440273,0.582614465826
car,i,0,0.600682593857,0.573324485733
car,i,0,0.59385665529,0.56602521566
car,i,0,0.590443686007,0.554744525547
car,i,0,0.576791808874,0.550763105508
car,i,0,0.563139931741,0.542136695421
car,i,0,0.559726962457,0.533510285335
car,i,0,0.559726962457,0.523556735236
car,i,0,0.552901023891,0.504313205043
car,i,0,0.549488054608,0.492368944924
car,i,0,0.532423208191,0.484406104844
car,i,0,0.525597269625,0.475116124751
car,i,0,0.518771331058,0.465826144658
car,i,0,0.515358361775,0.456536164565
car,i,0,0.505119453925,0.449900464499
car,i,0,0.501706484642,0.441937624419
car,i,0,0.494880546075,0.433311214333
car,i,0,0.474402730375,0.415394824154
car,i,0,0.464163822526,0.408095554081
car,i,0,0.450511945392,0.396151293962
car,i,0,0.430034129693,0.384207033842
car,i,0,0.41638225256,0.374917053749
car,i,0,0.409556313993,0.366290643663
car,i,0,0.402730375427,0.357664233577
car,i,0,0.382252559727,0.34704711347
car,i,0,0.368600682594,0.340411413404
car,i,0,0.358361774744,0.323158593232
car,i,0,0.344709897611,0.317850033179
car,i,0,0.337883959044,0.311214333112
car,i,0,0.331058020478,0.304578633046
car,i,0,0.327645051195,0.296615792966
car,i,0,0.317406143345,0.282680822827
car,i,0,0.310580204778,0.274054412741
car,i,0,0.296928327645,0.262110152621
car,i,0,0.293515358362,0.250165892502
car,i,0,0.276450511945,0.235567352356
car,i,0,0.273037542662,0.226940942269
car,i,0,0.259385665529,0.22096881221
car,i,0,0.252559726962,0.212342402123
car,i,0,0.245733788396,0.207697412077
car,i,0,0.235494880546,0.193098871931
car,i,0,0.211604095563,0.183145321831
car,i,0,0.18771331058,0.173855341739
car,i,0,0.184300341297,0.164565361646
car,i,0,0.163822525597,0.144658261447
car,i,0,0.150170648464,0.134704711347
car,i,0,0.139931740614,0.128069011281
car,i,0,0.122866894198,0.122760451228
car,i,0,0.109215017065,0.114134041141
car,i,0,0.098976109215,0.102853351029
car,i,0,0.0887372013652,0.0968812209688
car,i,0,0.061433447099,0.0796284007963
car,i,0,0.0580204778157,0.0676841406768
car,i,0,0.0511945392491,0.056403450564
car,i,0,0.0409556313993,0.0451227604512
car,i,0,0.0341296928328,0.0404777704048
car,i,0,0.0238907849829,0.0265428002654
car,i,0,0.0102389078498,0.0172528201725
car,i,0,0.00682593856655,0.00862641008626
car,i,1,1.0,1.0
car,i,1,0.99402786994,0.993174061433
car,i,1,0.987392169874,0.986348122867
car,i,1,0.977438619774,0.982935153584
car,i,1,0.968148639681,0.976109215017
car,i,1,0.960185799602,0.969283276451
car,i,1,0.953550099536,0.962457337884
car,i,1,0.942269409423,0.945392491468
car,i,1,0.927670869277,0.945392491468
car,i,1,0.917053749171,0.941979522184
car,i,1,0.908427339084,0.935153583618
car,i,1,0.887856668879,0.914675767918
car,i,1,0.874585268746,0.914675767918
car,i,1,0.86595885866,0.907849829352
car,i,1,0.8599867286,0.901023890785
car,i,1,0.848706038487,0.894197952218
